dut_data:82, torch_data:83, c:8, w:0, h:0, i+1:9, err:-1.0 
dut_data:74, torch_data:75, c:15, w:0, h:0, i+1:16, err:-1.0 
dut_data:85, torch_data:86, c:12, w:1, h:0, i+1:29, err:-1.0 
dut_data:85, torch_data:86, c:9, w:2, h:0, i+1:42, err:-1.0 
dut_data:76, torch_data:77, c:1, w:3, h:0, i+1:50, err:-1.0 
dut_data:76, torch_data:77, c:4, w:3, h:0, i+1:53, err:-1.0 
dut_data:77, torch_data:78, c:11, w:4, h:0, i+1:76, err:-1.0 
dut_data:75, torch_data:76, c:2, w:5, h:0, i+1:83, err:-1.0 
dut_data:82, torch_data:83, c:8, w:5, h:0, i+1:89, err:-1.0 
dut_data:72, torch_data:73, c:8, w:6, h:0, i+1:105, err:-1.0 
dut_data:80, torch_data:81, c:14, w:6, h:0, i+1:111, err:-1.0 
dut_data:72, torch_data:73, c:1, w:7, h:0, i+1:114, err:-1.0 
dut_data:83, torch_data:82, c:3, w:7, h:0, i+1:116, err:1.0 
dut_data:73, torch_data:72, c:7, w:7, h:0, i+1:120, err:1.0 
dut_data:72, torch_data:73, c:5, w:8, h:0, i+1:134, err:-1.0 
dut_data:94, torch_data:95, c:9, w:8, h:0, i+1:138, err:-1.0 
dut_data:81, torch_data:82, c:13, w:8, h:0, i+1:142, err:-1.0 
dut_data:72, torch_data:73, c:5, w:9, h:0, i+1:150, err:-1.0 
dut_data:76, torch_data:77, c:15, w:9, h:0, i+1:160, err:-1.0 
dut_data:83, torch_data:82, c:1, w:10, h:0, i+1:162, err:1.0 
dut_data:72, torch_data:74, c:5, w:11, h:0, i+1:182, err:-2.0 
dut_data:76, torch_data:77, c:7, w:11, h:0, i+1:184, err:-1.0 
dut_data:75, torch_data:76, c:4, w:12, h:0, i+1:197, err:-1.0 
dut_data:81, torch_data:82, c:7, w:13, h:0, i+1:216, err:-1.0 
dut_data:75, torch_data:76, c:11, w:14, h:0, i+1:236, err:-1.0 
dut_data:81, torch_data:82, c:15, w:14, h:0, i+1:240, err:-1.0 
dut_data:84, torch_data:83, c:6, w:16, h:0, i+1:263, err:1.0 
dut_data:75, torch_data:76, c:14, w:17, h:0, i+1:287, err:-1.0 
dut_data:78, torch_data:77, c:0, w:18, h:0, i+1:289, err:1.0 
dut_data:77, torch_data:76, c:2, w:18, h:0, i+1:291, err:1.0 
dut_data:79, torch_data:80, c:10, w:18, h:0, i+1:299, err:-1.0 
dut_data:82, torch_data:83, c:2, w:19, h:0, i+1:307, err:-1.0 
dut_data:76, torch_data:77, c:0, w:20, h:0, i+1:321, err:-1.0 
dut_data:85, torch_data:86, c:2, w:20, h:0, i+1:323, err:-1.0 
dut_data:72, torch_data:73, c:11, w:20, h:0, i+1:332, err:-1.0 
dut_data:82, torch_data:81, c:0, w:21, h:0, i+1:337, err:1.0 
dut_data:79, torch_data:80, c:8, w:21, h:0, i+1:345, err:-1.0 
dut_data:80, torch_data:81, c:14, w:22, h:0, i+1:367, err:-1.0 
dut_data:73, torch_data:74, c:12, w:23, h:0, i+1:381, err:-1.0 
dut_data:77, torch_data:78, c:4, w:24, h:0, i+1:389, err:-1.0 
dut_data:72, torch_data:73, c:5, w:24, h:0, i+1:390, err:-1.0 
dut_data:73, torch_data:72, c:0, w:25, h:0, i+1:401, err:1.0 
dut_data:72, torch_data:73, c:1, w:25, h:0, i+1:402, err:-1.0 
dut_data:72, torch_data:73, c:9, w:25, h:0, i+1:410, err:-1.0 
dut_data:77, torch_data:78, c:14, w:25, h:0, i+1:415, err:-1.0 
dut_data:84, torch_data:85, c:2, w:27, h:0, i+1:435, err:-1.0 
dut_data:72, torch_data:73, c:15, w:27, h:0, i+1:448, err:-1.0 
dut_data:79, torch_data:80, c:10, w:28, h:0, i+1:459, err:-1.0 
dut_data:78, torch_data:77, c:12, w:28, h:0, i+1:461, err:1.0 
dut_data:76, torch_data:77, c:7, w:29, h:0, i+1:472, err:-1.0 
dut_data:82, torch_data:83, c:5, w:32, h:0, i+1:518, err:-1.0 
dut_data:77, torch_data:78, c:7, w:33, h:0, i+1:536, err:-1.0 
dut_data:74, torch_data:73, c:0, w:34, h:0, i+1:545, err:1.0 
dut_data:77, torch_data:78, c:1, w:36, h:0, i+1:578, err:-1.0 
dut_data:76, torch_data:77, c:2, w:36, h:0, i+1:579, err:-1.0 
dut_data:80, torch_data:81, c:9, w:36, h:0, i+1:586, err:-1.0 
dut_data:83, torch_data:84, c:2, w:37, h:0, i+1:595, err:-1.0 
dut_data:89, torch_data:90, c:8, w:37, h:0, i+1:601, err:-1.0 
dut_data:74, torch_data:75, c:8, w:38, h:0, i+1:617, err:-1.0 
dut_data:82, torch_data:83, c:1, w:39, h:0, i+1:626, err:-1.0 
dut_data:85, torch_data:84, c:3, w:39, h:0, i+1:628, err:1.0 
dut_data:81, torch_data:82, c:12, w:39, h:0, i+1:637, err:-1.0 
dut_data:95, torch_data:96, c:9, w:40, h:0, i+1:650, err:-1.0 
dut_data:75, torch_data:76, c:12, w:40, h:0, i+1:653, err:-1.0 
dut_data:75, torch_data:76, c:13, w:40, h:0, i+1:654, err:-1.0 
dut_data:76, torch_data:77, c:14, w:41, h:0, i+1:671, err:-1.0 
dut_data:73, torch_data:74, c:5, w:43, h:0, i+1:694, err:-1.0 
dut_data:78, torch_data:77, c:2, w:44, h:0, i+1:707, err:1.0 
dut_data:80, torch_data:81, c:4, w:44, h:0, i+1:709, err:-1.0 
dut_data:89, torch_data:90, c:11, w:44, h:0, i+1:716, err:-1.0 
dut_data:82, torch_data:83, c:5, w:48, h:0, i+1:774, err:-1.0 
dut_data:77, torch_data:78, c:8, w:48, h:0, i+1:777, err:-1.0 
dut_data:73, torch_data:72, c:0, w:50, h:0, i+1:801, err:1.0 
dut_data:78, torch_data:79, c:0, w:52, h:0, i+1:833, err:-1.0 
dut_data:76, torch_data:77, c:9, w:52, h:0, i+1:842, err:-1.0 
dut_data:80, torch_data:81, c:10, w:52, h:0, i+1:843, err:-1.0 
dut_data:95, torch_data:96, c:6, w:53, h:0, i+1:855, err:-1.0 
dut_data:95, torch_data:96, c:8, w:53, h:0, i+1:857, err:-1.0 
dut_data:87, torch_data:88, c:14, w:53, h:0, i+1:863, err:-1.0 
dut_data:84, torch_data:85, c:1, w:55, h:0, i+1:882, err:-1.0 
dut_data:83, torch_data:84, c:12, w:55, h:0, i+1:893, err:-1.0 
dut_data:77, torch_data:78, c:3, w:56, h:0, i+1:900, err:-1.0 
dut_data:83, torch_data:84, c:4, w:56, h:0, i+1:901, err:-1.0 
dut_data:96, torch_data:97, c:9, w:56, h:0, i+1:906, err:-1.0 
dut_data:75, torch_data:76, c:14, w:57, h:0, i+1:927, err:-1.0 
dut_data:84, torch_data:83, c:1, w:58, h:0, i+1:930, err:1.0 
dut_data:95, torch_data:94, c:8, w:58, h:0, i+1:937, err:1.0 
dut_data:72, torch_data:73, c:13, w:58, h:0, i+1:942, err:-1.0 
dut_data:80, torch_data:82, c:5, w:59, h:0, i+1:950, err:-2.0 
dut_data:72, torch_data:73, c:10, w:60, h:0, i+1:971, err:-1.0 
dut_data:72, torch_data:73, c:14, w:60, h:0, i+1:975, err:-1.0 
dut_data:74, torch_data:75, c:7, w:61, h:0, i+1:984, err:-1.0 
dut_data:73, torch_data:74, c:11, w:62, h:0, i+1:1004, err:-1.0 
dut_data:76, torch_data:77, c:3, w:64, h:0, i+1:1028, err:-1.0 
dut_data:75, torch_data:76, c:12, w:64, h:0, i+1:1037, err:-1.0 
dut_data:79, torch_data:80, c:14, w:64, h:0, i+1:1039, err:-1.0 
dut_data:72, torch_data:73, c:3, w:65, h:0, i+1:1044, err:-1.0 
dut_data:82, torch_data:83, c:7, w:65, h:0, i+1:1048, err:-1.0 
dut_data:73, torch_data:74, c:14, w:65, h:0, i+1:1055, err:-1.0 
dut_data:84, torch_data:85, c:7, w:66, h:0, i+1:1064, err:-1.0 
dut_data:79, torch_data:80, c:14, w:66, h:0, i+1:1071, err:-1.0 
dut_data:87, torch_data:88, c:15, w:66, h:0, i+1:1072, err:-1.0 
dut_data:72, torch_data:73, c:1, w:67, h:0, i+1:1074, err:-1.0 
dut_data:82, torch_data:83, c:2, w:67, h:0, i+1:1075, err:-1.0 
dut_data:79, torch_data:80, c:11, w:67, h:0, i+1:1084, err:-1.0 
dut_data:85, torch_data:86, c:2, w:68, h:0, i+1:1091, err:-1.0 
dut_data:77, torch_data:78, c:7, w:68, h:0, i+1:1096, err:-1.0 
dut_data:81, torch_data:82, c:10, w:68, h:0, i+1:1099, err:-1.0 
dut_data:87, torch_data:88, c:6, w:69, h:0, i+1:1111, err:-1.0 
dut_data:83, torch_data:84, c:14, w:69, h:0, i+1:1119, err:-1.0 
dut_data:78, torch_data:77, c:3, w:71, h:0, i+1:1140, err:1.0 
dut_data:88, torch_data:89, c:11, w:71, h:0, i+1:1148, err:-1.0 
dut_data:86, torch_data:87, c:13, w:71, h:0, i+1:1150, err:-1.0 
dut_data:91, torch_data:92, c:9, w:72, h:0, i+1:1162, err:-1.0 
dut_data:75, torch_data:76, c:12, w:72, h:0, i+1:1165, err:-1.0 
dut_data:74, torch_data:75, c:15, w:73, h:0, i+1:1184, err:-1.0 
dut_data:77, torch_data:78, c:2, w:74, h:0, i+1:1187, err:-1.0 
dut_data:76, torch_data:77, c:4, w:74, h:0, i+1:1189, err:-1.0 
dut_data:86, torch_data:87, c:7, w:74, h:0, i+1:1192, err:-1.0 
dut_data:81, torch_data:82, c:13, w:74, h:0, i+1:1198, err:-1.0 
dut_data:79, torch_data:80, c:10, w:76, h:0, i+1:1227, err:-1.0 
dut_data:79, torch_data:80, c:4, w:78, h:0, i+1:1253, err:-1.0 
dut_data:73, torch_data:74, c:10, w:78, h:0, i+1:1259, err:-1.0 
dut_data:77, torch_data:78, c:12, w:78, h:0, i+1:1261, err:-1.0 
dut_data:85, torch_data:86, c:13, w:78, h:0, i+1:1262, err:-1.0 
dut_data:80, torch_data:81, c:14, w:79, h:0, i+1:1279, err:-1.0 
dut_data:82, torch_data:83, c:15, w:79, h:0, i+1:1280, err:-1.0 
dut_data:72, torch_data:73, c:3, w:80, h:0, i+1:1284, err:-1.0 
dut_data:79, torch_data:80, c:12, w:80, h:0, i+1:1293, err:-1.0 
dut_data:80, torch_data:81, c:7, w:82, h:0, i+1:1320, err:-1.0 
dut_data:72, torch_data:73, c:15, w:82, h:0, i+1:1328, err:-1.0 
dut_data:90, torch_data:91, c:1, w:83, h:0, i+1:1330, err:-1.0 
dut_data:79, torch_data:80, c:2, w:83, h:0, i+1:1331, err:-1.0 
dut_data:85, torch_data:86, c:2, w:84, h:0, i+1:1347, err:-1.0 
dut_data:78, torch_data:79, c:14, w:85, h:0, i+1:1375, err:-1.0 
dut_data:84, torch_data:85, c:14, w:86, h:0, i+1:1391, err:-1.0 
dut_data:78, torch_data:77, c:3, w:87, h:0, i+1:1396, err:1.0 
dut_data:76, torch_data:77, c:12, w:87, h:0, i+1:1405, err:-1.0 
dut_data:74, torch_data:75, c:5, w:88, h:0, i+1:1414, err:-1.0 
dut_data:83, torch_data:84, c:9, w:88, h:0, i+1:1418, err:-1.0 
dut_data:79, torch_data:80, c:12, w:88, h:0, i+1:1421, err:-1.0 
dut_data:75, torch_data:76, c:3, w:89, h:0, i+1:1428, err:-1.0 
dut_data:74, torch_data:75, c:15, w:89, h:0, i+1:1440, err:-1.0 
dut_data:82, torch_data:83, c:0, w:90, h:0, i+1:1441, err:-1.0 
dut_data:73, torch_data:74, c:4, w:90, h:0, i+1:1445, err:-1.0 
dut_data:75, torch_data:76, c:6, w:90, h:0, i+1:1447, err:-1.0 
dut_data:82, torch_data:83, c:7, w:90, h:0, i+1:1448, err:-1.0 
dut_data:83, torch_data:84, c:14, w:90, h:0, i+1:1455, err:-1.0 
dut_data:73, torch_data:72, c:4, w:91, h:0, i+1:1461, err:1.0 
dut_data:73, torch_data:72, c:6, w:91, h:0, i+1:1463, err:1.0 
dut_data:86, torch_data:87, c:7, w:91, h:0, i+1:1464, err:-1.0 
dut_data:78, torch_data:77, c:12, w:92, h:0, i+1:1485, err:1.0 
dut_data:79, torch_data:80, c:3, w:93, h:0, i+1:1492, err:-1.0 
dut_data:72, torch_data:73, c:7, w:93, h:0, i+1:1496, err:-1.0 
dut_data:72, torch_data:73, c:12, w:94, h:0, i+1:1517, err:-1.0 
dut_data:76, torch_data:78, c:4, w:96, h:0, i+1:1541, err:-2.0 
dut_data:81, torch_data:80, c:1, w:97, h:0, i+1:1554, err:1.0 
dut_data:81, torch_data:82, c:8, w:97, h:0, i+1:1561, err:-1.0 
dut_data:84, torch_data:85, c:1, w:99, h:0, i+1:1586, err:-1.0 
dut_data:87, torch_data:88, c:2, w:99, h:0, i+1:1587, err:-1.0 
dut_data:88, torch_data:89, c:2, w:100, h:0, i+1:1603, err:-1.0 
dut_data:72, torch_data:73, c:8, w:101, h:0, i+1:1625, err:-1.0 
dut_data:73, torch_data:74, c:13, w:101, h:0, i+1:1630, err:-1.0 
dut_data:78, torch_data:79, c:14, w:101, h:0, i+1:1631, err:-1.0 
dut_data:84, torch_data:85, c:10, w:102, h:0, i+1:1643, err:-1.0 
dut_data:72, torch_data:73, c:14, w:102, h:0, i+1:1647, err:-1.0 
dut_data:74, torch_data:75, c:1, w:103, h:0, i+1:1650, err:-1.0 
dut_data:85, torch_data:84, c:7, w:103, h:0, i+1:1656, err:1.0 
dut_data:92, torch_data:93, c:9, w:104, h:0, i+1:1674, err:-1.0 
dut_data:77, torch_data:78, c:12, w:104, h:0, i+1:1677, err:-1.0 
dut_data:75, torch_data:76, c:10, w:105, h:0, i+1:1691, err:-1.0 
dut_data:79, torch_data:80, c:15, w:105, h:0, i+1:1696, err:-1.0 
dut_data:84, torch_data:83, c:1, w:106, h:0, i+1:1698, err:1.0 
dut_data:83, torch_data:84, c:4, w:106, h:0, i+1:1701, err:-1.0 
dut_data:75, torch_data:76, c:5, w:107, h:0, i+1:1718, err:-1.0 
dut_data:81, torch_data:82, c:7, w:107, h:0, i+1:1720, err:-1.0 
dut_data:88, torch_data:87, c:7, w:108, h:0, i+1:1736, err:1.0 
dut_data:74, torch_data:75, c:4, w:110, h:0, i+1:1765, err:-1.0 
dut_data:73, torch_data:74, c:10, w:111, h:0, i+1:1787, err:-1.0 
dut_data:83, torch_data:84, c:14, w:111, h:0, i+1:1791, err:-1.0 
dut_data:73, torch_data:74, c:3, w:112, h:0, i+1:1796, err:-1.0 
dut_data:72, torch_data:73, c:8, w:112, h:0, i+1:1801, err:-1.0 
dut_data:80, torch_data:81, c:12, w:112, h:0, i+1:1805, err:-1.0 
dut_data:73, torch_data:72, c:2, w:114, h:0, i+1:1827, err:1.0 
dut_data:86, torch_data:87, c:1, w:115, h:0, i+1:1842, err:-1.0 
dut_data:81, torch_data:82, c:9, w:115, h:0, i+1:1850, err:-1.0 
dut_data:72, torch_data:73, c:10, w:115, h:0, i+1:1851, err:-1.0 
dut_data:88, torch_data:89, c:9, w:116, h:0, i+1:1866, err:-1.0 
dut_data:73, torch_data:74, c:8, w:117, h:0, i+1:1881, err:-1.0 
dut_data:84, torch_data:85, c:10, w:118, h:0, i+1:1899, err:-1.0 
dut_data:74, torch_data:75, c:14, w:118, h:0, i+1:1903, err:-1.0 
dut_data:86, torch_data:87, c:1, w:119, h:0, i+1:1906, err:-1.0 
dut_data:74, torch_data:73, c:3, w:119, h:0, i+1:1908, err:1.0 
dut_data:78, torch_data:79, c:13, w:119, h:0, i+1:1918, err:-1.0 
dut_data:87, torch_data:88, c:9, w:120, h:0, i+1:1930, err:-1.0 
dut_data:78, torch_data:79, c:12, w:120, h:0, i+1:1933, err:-1.0 
dut_data:77, torch_data:78, c:13, w:120, h:0, i+1:1934, err:-1.0 
dut_data:74, torch_data:75, c:3, w:121, h:0, i+1:1940, err:-1.0 
dut_data:76, torch_data:77, c:10, w:121, h:0, i+1:1947, err:-1.0 
dut_data:72, torch_data:73, c:14, w:121, h:0, i+1:1951, err:-1.0 
dut_data:75, torch_data:76, c:15, w:121, h:0, i+1:1952, err:-1.0 
dut_data:76, torch_data:75, c:1, w:122, h:0, i+1:1954, err:1.0 
dut_data:76, torch_data:75, c:12, w:124, h:0, i+1:1997, err:1.0 
dut_data:76, torch_data:75, c:2, w:125, h:0, i+1:2003, err:1.0 
dut_data:75, torch_data:76, c:5, w:126, h:0, i+1:2022, err:-1.0 
dut_data:77, torch_data:78, c:3, w:128, h:0, i+1:2052, err:-1.0 
dut_data:89, torch_data:90, c:5, w:128, h:0, i+1:2054, err:-1.0 
dut_data:84, torch_data:85, c:10, w:128, h:0, i+1:2059, err:-1.0 
dut_data:72, torch_data:73, c:12, w:128, h:0, i+1:2061, err:-1.0 
dut_data:72, torch_data:73, c:9, w:129, h:0, i+1:2074, err:-1.0 
dut_data:88, torch_data:89, c:14, w:129, h:0, i+1:2079, err:-1.0 
dut_data:74, torch_data:73, c:2, w:130, h:0, i+1:2083, err:1.0 
dut_data:75, torch_data:76, c:8, w:130, h:0, i+1:2089, err:-1.0 
dut_data:73, torch_data:74, c:10, w:130, h:0, i+1:2091, err:-1.0 
dut_data:78, torch_data:79, c:1, w:131, h:0, i+1:2098, err:-1.0 
dut_data:76, torch_data:77, c:2, w:131, h:0, i+1:2099, err:-1.0 
dut_data:73, torch_data:74, c:7, w:131, h:0, i+1:2104, err:-1.0 
dut_data:73, torch_data:74, c:9, w:131, h:0, i+1:2106, err:-1.0 
dut_data:74, torch_data:75, c:0, w:132, h:0, i+1:2113, err:-1.0 
dut_data:77, torch_data:78, c:3, w:132, h:0, i+1:2116, err:-1.0 
dut_data:80, torch_data:81, c:10, w:132, h:0, i+1:2123, err:-1.0 
dut_data:75, torch_data:76, c:6, w:133, h:0, i+1:2135, err:-1.0 
dut_data:86, torch_data:87, c:8, w:133, h:0, i+1:2137, err:-1.0 
dut_data:78, torch_data:79, c:11, w:133, h:0, i+1:2140, err:-1.0 
dut_data:78, torch_data:79, c:1, w:135, h:0, i+1:2162, err:-1.0 
dut_data:85, torch_data:84, c:3, w:135, h:0, i+1:2164, err:1.0 
dut_data:85, torch_data:84, c:4, w:135, h:0, i+1:2165, err:1.0 
dut_data:102, torch_data:103, c:12, w:135, h:0, i+1:2173, err:-1.0 
dut_data:94, torch_data:95, c:9, w:136, h:0, i+1:2186, err:-1.0 
dut_data:76, torch_data:77, c:13, w:136, h:0, i+1:2190, err:-1.0 
dut_data:78, torch_data:79, c:3, w:137, h:0, i+1:2196, err:-1.0 
dut_data:80, torch_data:81, c:14, w:137, h:0, i+1:2207, err:-1.0 
dut_data:76, torch_data:75, c:1, w:138, h:0, i+1:2210, err:1.0 
dut_data:87, torch_data:86, c:12, w:140, h:0, i+1:2253, err:1.0 
dut_data:72, torch_data:73, c:1, w:141, h:0, i+1:2258, err:-1.0 
dut_data:80, torch_data:79, c:2, w:141, h:0, i+1:2259, err:1.0 
dut_data:72, torch_data:73, c:4, w:141, h:0, i+1:2261, err:-1.0 
dut_data:86, torch_data:87, c:7, w:141, h:0, i+1:2264, err:-1.0 
dut_data:75, torch_data:76, c:10, w:142, h:0, i+1:2283, err:-1.0 
dut_data:84, torch_data:83, c:6, w:144, h:0, i+1:2311, err:1.0 
dut_data:79, torch_data:80, c:3, w:145, h:0, i+1:2324, err:-1.0 
dut_data:81, torch_data:82, c:7, w:145, h:0, i+1:2328, err:-1.0 
dut_data:73, torch_data:74, c:14, w:145, h:0, i+1:2335, err:-1.0 
dut_data:73, torch_data:72, c:0, w:146, h:0, i+1:2337, err:1.0 
dut_data:78, torch_data:79, c:15, w:146, h:0, i+1:2352, err:-1.0 
dut_data:73, torch_data:74, c:1, w:147, h:0, i+1:2354, err:-1.0 
dut_data:74, torch_data:75, c:7, w:148, h:0, i+1:2376, err:-1.0 
dut_data:81, torch_data:82, c:6, w:149, h:0, i+1:2391, err:-1.0 
dut_data:83, torch_data:84, c:8, w:149, h:0, i+1:2393, err:-1.0 
dut_data:83, torch_data:84, c:14, w:149, h:0, i+1:2399, err:-1.0 
dut_data:83, torch_data:84, c:8, w:150, h:0, i+1:2409, err:-1.0 
dut_data:82, torch_data:81, c:3, w:151, h:0, i+1:2420, err:1.0 
dut_data:91, torch_data:90, c:7, w:151, h:0, i+1:2424, err:1.0 
dut_data:76, torch_data:77, c:11, w:151, h:0, i+1:2428, err:-1.0 
dut_data:78, torch_data:79, c:13, w:151, h:0, i+1:2430, err:-1.0 
dut_data:102, torch_data:103, c:9, w:152, h:0, i+1:2442, err:-1.0 
dut_data:81, torch_data:82, c:13, w:152, h:0, i+1:2446, err:-1.0 
dut_data:74, torch_data:75, c:15, w:153, h:0, i+1:2464, err:-1.0 
dut_data:73, torch_data:74, c:6, w:154, h:0, i+1:2471, err:-1.0 
dut_data:75, torch_data:76, c:7, w:154, h:0, i+1:2472, err:-1.0 
dut_data:79, torch_data:80, c:12, w:154, h:0, i+1:2477, err:-1.0 
dut_data:73, torch_data:74, c:13, w:154, h:0, i+1:2478, err:-1.0 
dut_data:87, torch_data:86, c:12, w:156, h:0, i+1:2509, err:1.0 
dut_data:73, torch_data:74, c:4, w:157, h:0, i+1:2517, err:-1.0 
dut_data:82, torch_data:83, c:7, w:157, h:0, i+1:2520, err:-1.0 
dut_data:89, torch_data:90, c:10, w:158, h:0, i+1:2539, err:-1.0 
dut_data:86, torch_data:87, c:15, w:159, h:0, i+1:2560, err:-1.0 
dut_data:80, torch_data:79, c:0, w:2, h:1, i+1:2593, err:1.0 
dut_data:84, torch_data:85, c:8, w:5, h:1, i+1:2649, err:-1.0 
dut_data:106, torch_data:107, c:9, w:8, h:1, i+1:2698, err:-1.0 
dut_data:81, torch_data:82, c:13, w:8, h:1, i+1:2702, err:-1.0 
dut_data:74, torch_data:75, c:3, w:9, h:1, i+1:2708, err:-1.0 
dut_data:73, torch_data:74, c:15, w:9, h:1, i+1:2720, err:-1.0 
dut_data:78, torch_data:79, c:0, w:10, h:1, i+1:2721, err:-1.0 
dut_data:75, torch_data:76, c:2, w:10, h:1, i+1:2723, err:-1.0 
dut_data:80, torch_data:81, c:7, w:10, h:1, i+1:2728, err:-1.0 
dut_data:72, torch_data:73, c:8, w:11, h:1, i+1:2745, err:-1.0 
dut_data:75, torch_data:76, c:14, w:11, h:1, i+1:2751, err:-1.0 
dut_data:79, torch_data:80, c:10, w:12, h:1, i+1:2763, err:-1.0 
dut_data:79, torch_data:78, c:12, w:12, h:1, i+1:2765, err:1.0 
dut_data:72, torch_data:73, c:14, w:12, h:1, i+1:2767, err:-1.0 
dut_data:82, torch_data:83, c:7, w:13, h:1, i+1:2776, err:-1.0 
dut_data:73, torch_data:72, c:10, w:13, h:1, i+1:2779, err:1.0 
dut_data:81, torch_data:82, c:10, w:14, h:1, i+1:2795, err:-1.0 
dut_data:88, torch_data:89, c:15, w:15, h:1, i+1:2816, err:-1.0 
dut_data:76, torch_data:77, c:3, w:17, h:1, i+1:2836, err:-1.0 
dut_data:72, torch_data:73, c:14, w:17, h:1, i+1:2847, err:-1.0 
dut_data:84, torch_data:83, c:0, w:18, h:1, i+1:2849, err:1.0 
dut_data:76, torch_data:75, c:2, w:18, h:1, i+1:2851, err:1.0 
dut_data:86, torch_data:87, c:10, w:18, h:1, i+1:2859, err:-1.0 
dut_data:92, torch_data:91, c:14, w:19, h:1, i+1:2879, err:1.0 
dut_data:77, torch_data:78, c:11, w:20, h:1, i+1:2892, err:-1.0 
dut_data:81, torch_data:82, c:8, w:21, h:1, i+1:2905, err:-1.0 
dut_data:74, torch_data:73, c:10, w:21, h:1, i+1:2907, err:1.0 
dut_data:80, torch_data:79, c:11, w:22, h:1, i+1:2924, err:1.0 
dut_data:75, torch_data:76, c:4, w:24, h:1, i+1:2949, err:-1.0 
dut_data:101, torch_data:102, c:9, w:24, h:1, i+1:2954, err:-1.0 
dut_data:81, torch_data:82, c:13, w:24, h:1, i+1:2958, err:-1.0 
dut_data:79, torch_data:80, c:1, w:25, h:1, i+1:2962, err:-1.0 
dut_data:74, torch_data:75, c:15, w:25, h:1, i+1:2976, err:-1.0 
dut_data:74, torch_data:75, c:0, w:26, h:1, i+1:2977, err:-1.0 
dut_data:78, torch_data:77, c:1, w:26, h:1, i+1:2978, err:1.0 
dut_data:75, torch_data:76, c:7, w:26, h:1, i+1:2984, err:-1.0 
dut_data:90, torch_data:91, c:13, w:26, h:1, i+1:2990, err:-1.0 
dut_data:74, torch_data:75, c:2, w:27, h:1, i+1:2995, err:-1.0 
dut_data:84, torch_data:85, c:14, w:27, h:1, i+1:3007, err:-1.0 
dut_data:82, torch_data:83, c:10, w:28, h:1, i+1:3019, err:-1.0 
dut_data:73, torch_data:74, c:12, w:29, h:1, i+1:3037, err:-1.0 
dut_data:76, torch_data:75, c:15, w:29, h:1, i+1:3040, err:1.0 
dut_data:78, torch_data:79, c:10, w:30, h:1, i+1:3051, err:-1.0 
dut_data:79, torch_data:80, c:12, w:30, h:1, i+1:3053, err:-1.0 
dut_data:85, torch_data:86, c:15, w:31, h:1, i+1:3072, err:-1.0 
dut_data:72, torch_data:73, c:12, w:32, h:1, i+1:3085, err:-1.0 
dut_data:77, torch_data:78, c:3, w:33, h:1, i+1:3092, err:-1.0 
dut_data:74, torch_data:75, c:11, w:33, h:1, i+1:3100, err:-1.0 
dut_data:73, torch_data:74, c:14, w:33, h:1, i+1:3103, err:-1.0 
dut_data:79, torch_data:78, c:2, w:34, h:1, i+1:3107, err:1.0 
dut_data:86, torch_data:87, c:9, w:34, h:1, i+1:3114, err:-1.0 
dut_data:76, torch_data:77, c:7, w:36, h:1, i+1:3144, err:-1.0 
dut_data:74, torch_data:75, c:15, w:36, h:1, i+1:3152, err:-1.0 
dut_data:73, torch_data:74, c:1, w:37, h:1, i+1:3154, err:-1.0 
dut_data:72, torch_data:73, c:2, w:37, h:1, i+1:3155, err:-1.0 
dut_data:79, torch_data:80, c:8, w:37, h:1, i+1:3161, err:-1.0 
dut_data:74, torch_data:73, c:11, w:38, h:1, i+1:3180, err:1.0 
dut_data:78, torch_data:79, c:14, w:38, h:1, i+1:3183, err:-1.0 
dut_data:72, torch_data:73, c:1, w:39, h:1, i+1:3186, err:-1.0 
dut_data:72, torch_data:73, c:11, w:39, h:1, i+1:3196, err:-1.0 
dut_data:81, torch_data:82, c:4, w:40, h:1, i+1:3205, err:-1.0 
dut_data:95, torch_data:96, c:9, w:40, h:1, i+1:3210, err:-1.0 
dut_data:73, torch_data:74, c:10, w:40, h:1, i+1:3211, err:-1.0 
dut_data:77, torch_data:78, c:10, w:41, h:1, i+1:3227, err:-1.0 
