dut_data:157, torch_data:158, c:13, w:2, h:0, i+1:46, err:-1.0 
dut_data:183, torch_data:184, c:8, w:3, h:0, i+1:57, err:-1.0 
dut_data:157, torch_data:158, c:9, w:5, h:0, i+1:90, err:-1.0 
dut_data:163, torch_data:164, c:15, w:6, h:0, i+1:112, err:-1.0 
dut_data:153, torch_data:154, c:9, w:7, h:0, i+1:122, err:-1.0 
dut_data:152, torch_data:153, c:11, w:7, h:0, i+1:124, err:-1.0 
dut_data:154, torch_data:155, c:15, w:9, h:0, i+1:160, err:-1.0 
dut_data:178, torch_data:179, c:13, w:13, h:0, i+1:222, err:-1.0 
dut_data:155, torch_data:156, c:12, w:19, h:0, i+1:317, err:-1.0 
dut_data:162, torch_data:163, c:9, w:20, h:0, i+1:330, err:-1.0 
dut_data:160, torch_data:161, c:11, w:21, h:0, i+1:348, err:-1.0 
dut_data:167, torch_data:168, c:14, w:21, h:0, i+1:351, err:-1.0 
dut_data:153, torch_data:154, c:2, w:25, h:0, i+1:403, err:-1.0 
dut_data:153, torch_data:154, c:14, w:29, h:0, i+1:479, err:-1.0 
dut_data:152, torch_data:153, c:13, w:31, h:0, i+1:510, err:-1.0 
dut_data:153, torch_data:154, c:9, w:32, h:0, i+1:522, err:-1.0 
dut_data:166, torch_data:167, c:7, w:33, h:0, i+1:536, err:-1.0 
dut_data:176, torch_data:177, c:14, w:38, h:0, i+1:623, err:-1.0 
dut_data:157, torch_data:158, c:3, w:46, h:0, i+1:740, err:-1.0 
dut_data:168, torch_data:169, c:8, w:64, h:0, i+1:1033, err:-1.0 
dut_data:169, torch_data:170, c:9, w:68, h:0, i+1:1098, err:-1.0 
dut_data:159, torch_data:160, c:5, w:70, h:0, i+1:1126, err:-1.0 
dut_data:155, torch_data:156, c:12, w:73, h:0, i+1:1181, err:-1.0 
dut_data:183, torch_data:184, c:5, w:76, h:0, i+1:1222, err:-1.0 
dut_data:172, torch_data:173, c:14, w:79, h:0, i+1:1279, err:-1.0 
dut_data:167, torch_data:168, c:4, w:80, h:0, i+1:1285, err:-1.0 
dut_data:168, torch_data:169, c:9, w:85, h:0, i+1:1370, err:-1.0 
dut_data:166, torch_data:167, c:15, w:89, h:0, i+1:1440, err:-1.0 
dut_data:167, torch_data:168, c:3, w:90, h:0, i+1:1444, err:-1.0 
dut_data:159, torch_data:160, c:4, w:90, h:0, i+1:1445, err:-1.0 
dut_data:152, torch_data:153, c:11, w:91, h:0, i+1:1468, err:-1.0 
dut_data:166, torch_data:167, c:5, w:99, h:0, i+1:1590, err:-1.0 
dut_data:152, torch_data:153, c:10, w:100, h:0, i+1:1611, err:-1.0 
dut_data:171, torch_data:172, c:14, w:102, h:0, i+1:1647, err:-1.0 
dut_data:182, torch_data:183, c:4, w:112, h:0, i+1:1797, err:-1.0 
dut_data:184, torch_data:185, c:7, w:113, h:0, i+1:1816, err:-1.0 
dut_data:164, torch_data:165, c:0, w:115, h:0, i+1:1841, err:-1.0 
dut_data:154, torch_data:155, c:13, w:115, h:0, i+1:1854, err:-1.0 
dut_data:175, torch_data:176, c:13, w:120, h:0, i+1:1934, err:-1.0 
dut_data:153, torch_data:154, c:5, w:123, h:0, i+1:1974, err:-1.0 
dut_data:176, torch_data:177, c:10, w:123, h:0, i+1:1979, err:-1.0 
dut_data:178, torch_data:179, c:8, w:128, h:0, i+1:2057, err:-1.0 
dut_data:170, torch_data:171, c:0, w:131, h:0, i+1:2097, err:-1.0 
dut_data:156, torch_data:157, c:13, w:131, h:0, i+1:2110, err:-1.0 
dut_data:177, torch_data:178, c:13, w:132, h:0, i+1:2126, err:-1.0 
dut_data:163, torch_data:164, c:9, w:133, h:0, i+1:2138, err:-1.0 
dut_data:164, torch_data:165, c:10, w:134, h:0, i+1:2155, err:-1.0 
dut_data:161, torch_data:162, c:2, w:137, h:0, i+1:2195, err:-1.0 
dut_data:158, torch_data:159, c:12, w:137, h:0, i+1:2205, err:-1.0 
dut_data:155, torch_data:156, c:5, w:139, h:0, i+1:2230, err:-1.0 
dut_data:177, torch_data:178, c:6, w:141, h:0, i+1:2263, err:-1.0 
dut_data:161, torch_data:162, c:2, w:143, h:0, i+1:2291, err:-1.0 
dut_data:153, torch_data:154, c:10, w:155, h:0, i+1:2491, err:-1.0 
dut_data:172, torch_data:173, c:6, w:157, h:0, i+1:2519, err:-1.0 
dut_data:157, torch_data:158, c:7, w:158, h:0, i+1:2536, err:-1.0 
dut_data:153, torch_data:154, c:5, w:0, h:1, i+1:2566, err:-1.0 
dut_data:159, torch_data:160, c:13, w:2, h:1, i+1:2606, err:-1.0 
dut_data:154, torch_data:155, c:12, w:3, h:1, i+1:2621, err:-1.0 
dut_data:163, torch_data:164, c:13, w:3, h:1, i+1:2622, err:-1.0 
dut_data:168, torch_data:169, c:9, w:6, h:1, i+1:2666, err:-1.0 
dut_data:160, torch_data:161, c:10, w:7, h:1, i+1:2683, err:-1.0 
dut_data:152, torch_data:153, c:8, w:21, h:1, i+1:2905, err:-1.0 
