dut_data:167, torch_data:166, c:8, w:14, h:0, i+1:233, err:1.0 
dut_data:161, torch_data:160, c:8, w:31, h:0, i+1:505, err:1.0 
dut_data:156, torch_data:155, c:15, w:36, h:0, i+1:592, err:1.0 
dut_data:158, torch_data:157, c:13, w:48, h:0, i+1:782, err:1.0 
dut_data:180, torch_data:179, c:6, w:67, h:0, i+1:1079, err:1.0 
dut_data:169, torch_data:168, c:15, w:73, h:0, i+1:1184, err:1.0 
dut_data:168, torch_data:167, c:8, w:83, h:0, i+1:1337, err:1.0 
dut_data:160, torch_data:159, c:7, w:84, h:0, i+1:1352, err:1.0 
dut_data:152, torch_data:153, c:11, w:91, h:0, i+1:1468, err:-1.0 
dut_data:166, torch_data:165, c:8, w:95, h:0, i+1:1529, err:1.0 
dut_data:173, torch_data:172, c:0, w:99, h:0, i+1:1585, err:1.0 
dut_data:176, torch_data:175, c:6, w:101, h:0, i+1:1623, err:1.0 
dut_data:198, torch_data:197, c:8, w:103, h:0, i+1:1657, err:1.0 
dut_data:187, torch_data:186, c:2, w:140, h:0, i+1:2243, err:1.0 
dut_data:153, torch_data:152, c:14, w:141, h:0, i+1:2271, err:1.0 
dut_data:167, torch_data:166, c:7, w:146, h:0, i+1:2344, err:1.0 
dut_data:195, torch_data:194, c:9, w:156, h:0, i+1:2506, err:1.0 
dut_data:157, torch_data:158, c:7, w:158, h:0, i+1:2536, err:-1.0 
dut_data:174, torch_data:173, c:1, w:36, h:1, i+1:3138, err:1.0 
dut_data:164, torch_data:163, c:3, w:36, h:1, i+1:3140, err:1.0 
dut_data:171, torch_data:170, c:7, w:36, h:1, i+1:3144, err:1.0 
dut_data:178, torch_data:177, c:1, w:52, h:1, i+1:3394, err:1.0 
dut_data:153, torch_data:152, c:15, w:60, h:1, i+1:3536, err:1.0 
dut_data:181, torch_data:180, c:10, w:64, h:1, i+1:3595, err:1.0 
dut_data:175, torch_data:174, c:1, w:84, h:1, i+1:3906, err:1.0 
dut_data:154, torch_data:153, c:15, w:84, h:1, i+1:3920, err:1.0 
dut_data:157, torch_data:156, c:1, w:86, h:1, i+1:3938, err:1.0 
dut_data:168, torch_data:167, c:11, w:87, h:1, i+1:3964, err:1.0 
