dut_data:78, torch_data:77, c:15, w:0, h:0, i+1:16, err:1.0 
dut_data:79, torch_data:78, c:15, w:20, h:0, i+1:336, err:1.0 
dut_data:78, torch_data:77, c:10, w:23, h:0, i+1:379, err:1.0 
dut_data:86, torch_data:85, c:13, w:24, h:0, i+1:398, err:1.0 
dut_data:83, torch_data:82, c:4, w:26, h:0, i+1:421, err:1.0 
dut_data:78, torch_data:77, c:10, w:37, h:0, i+1:603, err:1.0 
dut_data:87, torch_data:86, c:14, w:74, h:0, i+1:1199, err:1.0 
dut_data:89, torch_data:88, c:5, w:97, h:0, i+1:1558, err:1.0 
dut_data:81, torch_data:80, c:8, w:115, h:0, i+1:1849, err:1.0 
dut_data:83, torch_data:82, c:0, w:124, h:0, i+1:1985, err:1.0 
dut_data:84, torch_data:83, c:9, w:149, h:0, i+1:2394, err:1.0 
dut_data:79, torch_data:78, c:2, w:153, h:0, i+1:2451, err:1.0 
dut_data:85, torch_data:84, c:13, w:157, h:0, i+1:2526, err:1.0 
dut_data:88, torch_data:89, c:13, w:4, h:1, i+1:2638, err:-1.0 
dut_data:83, torch_data:82, c:2, w:6, h:1, i+1:2659, err:1.0 
dut_data:78, torch_data:77, c:4, w:18, h:1, i+1:2853, err:1.0 
dut_data:77, torch_data:76, c:9, w:22, h:1, i+1:2922, err:1.0 
dut_data:81, torch_data:80, c:10, w:22, h:1, i+1:2923, err:1.0 
dut_data:81, torch_data:80, c:6, w:35, h:1, i+1:3127, err:1.0 
dut_data:79, torch_data:78, c:0, w:41, h:1, i+1:3217, err:1.0 
dut_data:98, torch_data:97, c:6, w:54, h:1, i+1:3431, err:1.0 
dut_data:80, torch_data:79, c:14, w:60, h:1, i+1:3535, err:1.0 
dut_data:86, torch_data:85, c:6, w:61, h:1, i+1:3543, err:1.0 
dut_data:81, torch_data:80, c:15, w:63, h:1, i+1:3584, err:1.0 
dut_data:77, torch_data:76, c:0, w:89, h:1, i+1:3985, err:1.0 
dut_data:94, torch_data:93, c:6, w:101, h:1, i+1:4183, err:1.0 
dut_data:84, torch_data:83, c:7, w:130, h:1, i+1:4648, err:1.0 
dut_data:81, torch_data:80, c:7, w:132, h:1, i+1:4680, err:1.0 
dut_data:98, torch_data:97, c:8, w:135, h:1, i+1:4729, err:1.0 
dut_data:95, torch_data:94, c:10, w:144, h:1, i+1:4875, err:1.0 
dut_data:79, torch_data:78, c:14, w:148, h:1, i+1:4943, err:1.0 
dut_data:77, torch_data:76, c:0, w:3, h:2, i+1:5169, err:1.0 
